vin,year,make,model,body,trim,basePrice,mileage,state,averageRating,numberOfReviews,exteriorColor,interiorColor,transmission,mpgCity,mpgHighway,cylinders,driveTrain,engineType,horsepowerRpm,engineTorque,engineTorqueRpm,featureScore
5NPEG4JA8NH134099,2022,Hyundai,Sonata,4D Sedan,SE,19998,56782,Georgia,4.2,5,Gray,Gray,Automatic,28.0,38.0,4,Front Wheel Drive,Gas,6100.0,181.0,4000.0,3.0
JTDEPMAE5NJ210260,2022,Toyota,Corolla,4D Sedan,LE,20998,33730,Georgia,4.5,22,Blue,Black,Automatic,30.0,38.0,4,Front Wheel Drive,Gas,6100.0,126.0,3900.0,7.0
3GCUDFE80RG128481,2024,Chevrolet,Silverado 1500,4D Crew Cab,LT Trail Boss,51998,58240,Georgia,5.0,1,Black,Black,Automatic,23.0,27.0,6,Four Wheel Drive,Diesel,3750.0,495.0,2750.0,10.0
1V2WE2CA5PC229115,2023,Volkswagen,Atlas Cross Sport,4D Sport Utility,SE w/Tech,32998,15895,Georgia,5.0,2,Black,Black,Automatic,18.0,24.0,6,Front Wheel Drive,Gas,6200.0,266.0,3600.0,5.0
58AGZ1B12MU110647,2021,Lexus,ES 350,4D Sedan,F-Sport,35998,26900,Georgia,4.333333333333333,6,Black,Red,Automatic,22.0,31.0,6,Front Wheel Drive,Gas,6600.0,267.0,4700.0,7.0
2T1BURHE5JC033830,2018,Toyota,Corolla,4D Sedan,LE,21998,5589,Georgia,4.428571428571429,28,Silver,Black,Automatic,28.0,36.0,4,Front Wheel Drive,Gas,6000.0,128.0,4400.0,7.0
1N4BL4DVXMN401602,2021,Nissan,Altima,4D Sedan,SV,20998,37673,Georgia,4.888888888888889,9,Blue,Black,Automatic,27.0,37.0,4,Front Wheel Drive,Gas,6000.0,180.0,3600.0,5.0
WP1AB2A58LLB37936,2020,Porsche,Macan,4D Sport Utility,S,44998,37888,Georgia,4.75,8,White,Black,Automatic,18.0,23.0,6,All Wheel Drive,Gas,5400.0,352.0,1360.0,10.0
KMHL64JA9MA158147,2021,Hyundai,Sonata,4D Sedan,SEL,20998,27684,Georgia,4.642857142857143,14,Black,Tan,Automatic,27.0,37.0,4,Front Wheel Drive,Gas,6100.0,181.0,4000.0,4.0
1FTEW1CP1LFC15990,2020,Ford,F150,4D Crew Cab,XLT,29998,70895,Georgia,4.454545454545454,33,Red,Black,Automatic,20.0,26.0,6,Rear Wheel Drive,Gas,5000.0,400.0,2750.0,4.0
5NPD74LF1JH290287,2018,Hyundai,Elantra,4D Sedan,SE,14998,51230,Georgia,4.548387096774194,31,White,Tan,Automatic,29.0,38.0,4,Front Wheel Drive,Gas,6200.0,132.0,4500.0,2.0
1N4BL4CV9LN318999,2020,Nissan,Altima,4D Sedan,SR,20998,47778,Georgia,4.727272727272727,22,Gray,Black,Automatic,27.0,37.0,4,Front Wheel Drive,Gas,6000.0,180.0,3600.0,5.0
JTJHZKEA5N2027533,2022,Lexus,RX 350,4D Sport Utility,L Luxury,43998,32916,Georgia,5.0,6,Black,Black,Automatic,19.0,26.0,6,Front Wheel Drive,Gas,6300.0,263.0,4700.0,9.0
3GNKBCR47PS170635,2023,Chevrolet,Blazer,4D Sport Utility,2LT,27998,7651,Georgia,5.0,1,White,Black,Automatic,22.0,29.0,4,Front Wheel Drive,Gas,5000.0,258.0,1500.0,5.0
3VVCB7AX8PM100142,2023,Volkswagen,Tiguan,4D Sport Utility,SE R-Line Black,27998,27806,Georgia,4.666666666666667,3,White,Black,Automatic,21.0,28.0,4,Front Wheel Drive,Gas,6000.0,221.0,1900.0,9.0
3GNAXHEVXNS196006,2022,Chevrolet,Equinox,4D Sport Utility,LS,18998,46904,Georgia,4.625,16,White,Gray,Automatic,26.0,31.0,4,Front Wheel Drive,Gas,5600.0,203.0,2000.0,4.0
KMHLM4AG5NU351633,2022,Hyundai,Elantra,4D Sedan,SEL,20998,24008,Georgia,4.777777777777778,9,Gray,Gray,Automatic,31.0,41.0,4,Front Wheel Drive,Gas,6200.0,132.0,4500.0,5.0
5N1BT3AB0PC749709,2023,Nissan,Rogue,4D Sport Utility,S,22998,42055,Georgia,4.266666666666667,15,White,Black,Automatic,28.0,35.0,3,All Wheel Drive,Gas,5600.0,225.0,2800.0,5.0
WMWXJ1C04L2L83377,2020,Mini,Cooper Clubman,4D Wagon,S ALL4,24998,44590,Georgia,3.5,2,Silver,Blue,Automatic,23.0,32.0,4,All Wheel Drive,Gas,5000.0,207.0,1350.0,10.0
5NMS24AJXPH549572,2023,Hyundai,Santa Fe,4D Sport Utility,SEL,21998,52497,Georgia,4.571428571428571,14,Blue,Black,Automatic,25.0,28.0,4,Front Wheel Drive,Gas,6100.0,181.0,4000.0,4.0
JTERU5JR1R6247586,2024,Toyota,4Runner,4D Sport Utility,TRD Off Road Premium,55998,12332,Georgia,5.0,3,Gray,Black,Automatic,16.0,19.0,6,Four Wheel Drive,Gas,5600.0,278.0,4400.0,7.0
KL77LHE26RC168992,2024,Chevrolet,Trax,4D Sport Utility,LT,23998,13516,Georgia,3.0,2,White,Black,Automatic,28.0,32.0,3,Front Wheel Drive,Gas,5000.0,162.0,2500.0,8.0
KNDCB3LC8N5524165,2022,Kia,Niro,4D Sport Utility,LXS Special Edition,22998,36273,Georgia,4.5,2,Black,Black,Automatic,51.0,46.0,4,Front Wheel Drive,Hybrid,5700.0,195.0,2400.0,6.0
KNDPM3ACXM7927582,2021,Kia,Sportage,4D Sport Utility,LX,18998,52553,Georgia,4.8,5,Black,Gray,Automatic,23.0,30.0,4,Front Wheel Drive,Gas,6000.0,175.0,4000.0,3.0
